Bremsefabrikat;Koerer;Daektype;Bremseevne
1;20;1;1349
1;20;1;1260
1;20;1;1287
1;20;1;1368
1;20;1;1265
1;20;2;1180
1;20;2;1225
1;20;2;1200
1;20;2;1213
1;20;2;1171
1;20;3;1131
1;20;3;1221
1;20;3;1241
1;20;3;1138
1;20;3;1101
1;27;1;1238
1;27;1;1226
1;27;1;1222
1;27;1;1191
1;27;1;1201
1;27;2;1139
1;27;2;1124
1;27;2;1173
1;27;2;1094
1;27;2;1117
1;27;3;1103
1;27;3;1102
1;27;3;1079
1;27;3;1065
1;27;3;1031
2;20;1;1231
2;20;1;1269
2;20;1;1245
2;20;1;1195
2;20;1;1288
2;20;2;1180
2;20;2;1142
2;20;2;1153
2;20;2;1153
2;20;2;1157
2;20;3;1131
2;20;3;1086
2;20;3;1164
2;20;3;1054
2;20;3;1087
2;27;1;1236
2;27;1;1240
2;27;1;1210
2;27;1;1295
2;27;1;1262
2;27;2;1156
2;27;2;1163
2;27;2;1139
2;27;2;1149
2;27;2;1187
2;27;3;1108
2;27;3;1125
2;27;3;1130
2;27;3;1141
2;27;3;1094
